party,total_allocation,state_component,iplc_component,un_band,un_band_weight,WB Income Group,UN LDC,CBD Party,EU
Afghanistan,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Albania,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Algeria,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Andorra,0,0,0,,1,High income,-,Party,Non-EU
Angola,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Antigua and Barbuda,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,High income,-,Party,Non-EU
Argentina,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Armenia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
Australia,0,0,0,,1,High income,-,Party,Non-EU
Austria,0,0,0,,1,High income,-,Party,EU Member
Azerbaijan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Bahamas,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,High income,-,Party,Non-EU
Bahrain,0,0,0,,1,High income,-,Party,Non-EU
Bangladesh,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Barbados,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,High income,-,Party,Non-EU
Belarus,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Belgium,0,0,0,,1,High income,-,Party,EU Member
Belize,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Benin,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Bhutan,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,-,Party,Non-EU
Bolivia (Plurinational State of),6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Bosnia and Herzegovina,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Botswana,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Brazil,4.262574595055414,2.131287297527707,2.131287297527707,Band 5: 1.0% - 10.0%,0.75,Upper middle income,-,Party,Non-EU
Brunei Darussalam,0,0,0,,1,High income,-,Party,Non-EU
Bulgaria,0,0,0,,1,High income,-,Party,EU Member
Burkina Faso,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Burundi,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Cabo Verde,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Cambodia,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Cameroon,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Canada,0,0,0,,1,High income,-,Party,Non-EU
Central African Republic,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Low income,LDC,Party,Non-EU
Chad,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Chile,0,0,0,,1,High income,-,Party,Non-EU
China,2.2733731173628877,1.1366865586814439,1.1366865586814439,Band 6: > 10.0%,0.4,Upper middle income,-,Party,Non-EU
Colombia,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Comoros,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Lower middle income,LDC,Party,Non-EU
Congo,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,-,Party,Non-EU
Cook Islands,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,High income,-,Party,Non-EU
Costa Rica,0,0,0,,1,High income,-,Party,Non-EU
Côte d’Ivoire,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Lower middle income,-,Party,Non-EU
Croatia,0,0,0,,1,High income,-,Party,EU Member
Cuba,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Upper middle income,-,Party,Non-EU
Cyprus,0,0,0,,1,High income,-,Party,EU Member
Czechia,0,0,0,,1,High income,-,Party,EU Member
Democratic People's Republic of Korea,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,-,Party,Non-EU
Democratic Republic of the Congo,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Low income,LDC,Party,Non-EU
Denmark,0,0,0,,1,High income,-,Party,EU Member
Djibouti,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Lower middle income,LDC,Party,Non-EU
Dominica,8.525149190110827,4.262574595055414,4.262574595055414,Band 1: <= 0.001%,1.5,Upper middle income,-,Party,Non-EU
Dominican Republic,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Ecuador,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Egypt,5.399261153736858,2.699630576868429,2.699630576868429,Band 4: 0.1% - 1.0%,0.95,Lower middle income,-,Party,Non-EU
El Salvador,6.2517760727479414,3.1258880363739707,3.1258880363739707,Band 3: 0.01% - 0.1%,1.1,Upper middle income,-,Party,Non-EU
Equatorial Guinea,7.388462631429383,3.6942313157146915,3.6942313157146915,Band 2: 0.001% - 0.01%,1.3,Upper middle income,-,Party,Non-EU
